Scheme_ID,Scheme_Name,Ministry,Category,Launch_Year,Target_Beneficiaries,Budget_Allocated_Crore,Budget_Utilized_Crore,States_Covered,Beneficiaries_Reached_Lakh,Status,Mode,Gender_Focus,Age_Group,Application_Mode,Success_Rate_%,Grievances_Filed,Grievances_Resolved,Scheme_Duration_Years,Annual_Report_Available,Website_Available,PM_Flagship,Nodal_Agency,Remarks
S0040,Digital River Cleaning Kaushal,Ministry of Road Transport,Urban Development,1963,Students,186665,157666,All States,9589.72,Closed,Insurance,SC/ST,18-60,Online/Offline,54.3,153427,133338,7,Yes,No,Yes,NSIC,State-level implementation
S0041,Indira Gandhi Watershed Development Vikas Yojana,Ministry of Health,Transport,1965,Minorities,285102,166468,All States,1167.57,Active,Digital Platform,Women,21-45,N/A,90.7,255355,243831,Ongoing,Yes,No,No,WCD,
S0042,Bharat Rural Housing Shakti,Ministry of Housing,Agriculture,2005,Fishers,359630,211699,All States,6092.17,Active,Direct Benefit Transfer,SC/ST,0-6,Multiple,31.2,327727,204085,2019,Yes,Yes,No,MoRD,Scheme under review
S0043,Mission Tourism Development Bima Yojana,Ministry of Tourism,Scholarships,1955,Urban Poor,403650,,All States,8100.31,Closed,Legal Framework,All,21-45,Offline,31.9,433958,419274,10,Yes,Yes,Yes,FCI,Data partially available
S0044,Indira Gandhi Elderly Care Urja Yojana,PMO,Manufacturing,2018,Youth,125328,61551,16,11944.71,Completed,Loan Guarantee,SC/ST,18-70,Multiple,59.2,45544,32786,Ongoing,Yes,Yes,Yes,SAI,Merged with another scheme
S0045,Rajiv Gandhi Food Processing Initiative,Ministry of Science and Technology,Credit,1961,All Citizens,70682,21866,All States,11481.27,Under Review,Policy,Women,21-45,Online/Offline,80.6,232870,204483,1966,Yes,Yes,Yes,NDDB,New phase announced
S0046,Scheme for Fisheries Development Sinchai Yojana,Ministry of Rural Development,Health,2022,Small Entrepreneurs,410222,175551,7,1862.28,Closed,Insurance,All,All Ages,Online/Offline,55.1,113698,108818,2023,Yes,No,No,DRDA,
S0047,National Watershed Development Initiative,Ministry of Defence,Pension,1974,Women,109440,101328,All States,13774.59,Active,Savings Scheme,SC/ST,All Ages,Online,87.6,111050,72787,1992,Yes,Yes,No,FCI,Loan guarantee scheme
S0048,Samagra Sports Infrastructure Mission,Ministry of Tourism,Education,1957,Fishers,65749,35836,All States,11797.69,Completed,Fellowship,SC/ST,16-59,Offline,87.7,252727,181472,8,Yes,Yes,No,QCI,Budget revised upward
S0049,Mahatma Gandhi Crop Insurance Initiative,Ministry of Culture,Rural Development,2009,Tribal Communities,234647,159731,All States,13826.03,Under Review,Training,Women/Children,18-60,N/A,77.1,385233,303922,2016,Yes,Yes,No,AAI,Missing beneficiary data
S0050,Mukhyamantri Horticulture Sinchai Yojana,Ministry of Education,Sanitation,2006,Pregnant Women,224038,159995,All States,8713.88,Active,Loan Guarantee,SC/OBC,21-30,N/A,52,311185,309795,10,Yes,No,No,FCI,Self-funded contributory
S0051,Pradhan Mantri Persons with Disability Urja Yojana,Ministry of Health,Skill Development,2011,BPL Families,38963,31496,All States,,Active,Cash Incentive,SC/OBC,0-6,N/A,85.3,141505,112575,9,Yes,Yes,Yes,NDDB,
S0052,Atal Cultural Promotion Vikas Yojana,Ministry of Science and Technology,Manufacturing,2022,BPL Families,10011,8126,All States,10351.41,Active,Reimbursement,Women/Children,Jun-18,Online,81.5,439835,316363,Ongoing,Yes,Yes,No,NHM,Scheme under review
S0053,Gram Seed Development Swasthya Yojana,Ministry of Development of NE,Nutrition,1964,Tribal Communities,10199,9828,All States,12145.65,Active,Legal Framework,Children,21-45,Online,31.4,403011,331093,1989,Yes,Yes,No,DAC,New phase announced
S0054,Indira Gandhi Minority Welfare Abhiyan,Ministry of AYUSH,Environment,1988,Minorities,377435,301475,All States,6325.84,Active,Training,Children,18-70,N/A,96.6,270714,201603,Ongoing,Yes,Yes,Yes,PFC,Extended beyond original timeline
S0055,Jan Sericulture Yojana,Ministry of Food Processing,Insurance,1960,Farmers,463106,463900,All States,6239.24,Active,Multiple,Women/Children,30+,N/A,61.8,347958,346270,1992,Yes,Yes,No,MoRD,Self-funded contributory
S0056,State Fertilizer Urja Yojana,Ministry of Environment,Health,1991,All Citizens,179575,188125,All States,4742.95,Active,Awareness,SC/OBC,21-55,Online/Offline,82.7,317199,266520,2017,Yes,No,No,NMCG,Budget revised upward
S0057,PM Leprosy Elimination Sadak Yojana,Ministry of Power,Livelihood,2014,Children,428996,440815,All States,10824.18,Under Review,Wage Employment,SC/ST,21-35,N/A,,245863,234785,2020,Yes,Yes,No,PFC,No direct govt budget
S0058,Mission Road Construction Vikas Yojana,Ministry of Minority Affairs,Transport,1956,All Citizens,120707,90577,18,11220.56,Closed,Savings Scheme,Women,60+,Multiple,91.4,124368,115152,1,No,Yes,No,WCD,No direct govt budget
S0059,Integrated Road Construction Karyakram,Ministry of Labour,Innovation,2024,Students,181990,125698,All States,10498.24,Active,In-Kind,Children,18-70,Multiple,53.4,363653,360629,2025,No,Yes,Yes,NSDC,New phase announced
S0060,Jan Groundwater Conservation Jan Vikas,Ministry of Home Affairs,Education,1968,Small Entrepreneurs,256756,113220,All States,4607.21,Active,Training,Children,Jun-14,Online,92.6,98157,77593,1976,Yes,Yes,No,MoTA,
S0061,Central Aadhaar Integration Yojana,Ministry of Petroleum,Social Security,2004,Fishers,47992,25838,27,14673.37,Closed,Infrastructure,SC/OBC,15-35,Online,41.4,173857,152864,2030,Yes,Yes,No,FCI,COVID-19 relief component
S0062,Atal Afforestation Shakti,Ministry of Civil Aviation,Education,2006,Senior Citizens,,,All States,1274.14,Active,Wage Employment,All,18-40,Offline,,171079,,2023,No,Yes,Yes,NITI Aayog,Loan guarantee scheme
S0063,Mukhyamantri Rural Housing Kaushal,Ministry of Home Affairs,Infrastructure,2016,Youth,111887,,All States,5410.93,Completed,Price Support,All,Jun-14,Offline,47.7,42368,32839,13,Yes,Yes,No,NHAI,Scheme under review
S0064,Scheme for Women Safety Rozgar Yojana,Ministry of Road Transport,Entrepreneurship,1954,BPL Families,396057,271194,All States,13744.12,Active,In-Kind,SC/OBC,Jun-14,Online/Offline,78.8,272072,270146,8,Yes,Yes,Yes,MoHUA,
S0065,Mukhyamantri Inland Waterways Samman Nidhi,Ministry of Rural Development,Tourism,1969,Farmers,338308,262872,All States,9869.01,Active,Wage Employment,Women,18-40,Offline,39.7,243367,221150,14,Yes,No,No,DoSJE,
S0066,Samagra DBT Implementation Shakti,Ministry of Tourism,Financial Inclusion,2017,Urban Poor,,,All States,11096.6,Active,Insurance,Children,All Ages,Online/Offline,31.2,54575,46116,11,Yes,No,No,MNRE,State-level implementation
S0067,Mukhyamantri Fluorosis Control Bima Yojana,Ministry of Rural Development,Regional Development,2013,All Citizens,447832,166248,24,2505.73,Active,Legal Framework,Women/Children,15-45,Online,62.7,233195,150810,6,No,Yes,No,LIC,Loan guarantee scheme
S0068,National Drought Relief Shakti,Ministry of Mines,Energy,2008,Fishers,,,All States,9751.42,Active,Savings Scheme,Women/Children,16-59,Offline,77.9,336714,,1,Yes,Yes,Yes,NSDC,Discontinued after 2020
S0069,Rajiv Gandhi Cold Chain Sadak Yojana,Ministry of Culture,Food Security,2000,Youth,463710,321850,All States,14327.92,Completed,Reimbursement,SC/ST,18-60,Online,,446809,309496,2022,No,Yes,No,DAC,Merged with another scheme
S0070,Mission Girl Child Urja Yojana,Ministry of Sports,Insurance,1961,Artisans,231383,206825,All States,12147.24,Active,Savings Scheme,SC/ST,21-35,Multiple,34.3,54364,50828,1984,Yes,Yes,No,DRDA,Self-funded contributory
S0071,Mission MSME Credit Bima Yojana,Ministry of Railways,Border Development,1974,Rural Poor,23651,10434,All States,,Closed,Policy,SC/ST,21-45,Offline,77.7,23546,15057,12,Yes,Yes,No,NHA,Scheme under review
S0072,PM TB Eradication Samman Nidhi,Ministry of Road Transport,Child Development,1978,SC/ST,128896,107197,All States,2121.25,Active,Loan Guarantee,All,30+,N/A,80.5,412910,255728,1984,Yes,No,No,AAI,Budget revised upward
S0073,Deendayal Waste Management Samman Nidhi,Ministry of Power,Housing,1971,BPL Families,381871,215920,All States,,Under Review,Grant,Women/Children,30+,Multiple,92.4,85300,58806,2012,Yes,No,No,AAI,Data partially available
S0074,Atal Metro Rail Karyakram,Ministry of Housing,Sanitation,1999,Artisans,,,All States,2426.46,Active,Subsidy,All,30+,Offline,81.3,371093,307364,3,Yes,Yes,No,NMCG,Missing beneficiary data
S0075,Indira Gandhi Fertilizer Scheme,Ministry of Jal Shakti,Infrastructure,1961,BPL Families,35949,18514,All States,11448.13,Active,Awareness,Children,18-60,Online,47.9,294987,234438,1978,Yes,No,No,NeSL,Merged with another scheme
S0076,Gram Electric Vehicles Bima Yojana,Ministry of MSME,Employment,2019,SC/ST,331426,194275,All States,7798.51,Active,Free Service,SC/OBC,0-6,Online,91.2,17708,16246,Ongoing,Yes,Yes,Yes,PFRDA,Merged with another scheme
S0077,Mission Tourism Development Urja Yojana,Ministry of Education,Education,2002,Artisans,462680,,All States,12833.63,Active,Insurance,Women,18+,Offline,85.9,224590,177728,2007,Yes,Yes,No,NSDC,
S0078,National Senior Citizens Jan Vikas,Ministry of Jal Shakti,Agriculture,1964,Tribal Communities,47376,17010,All States,14620.16,Active,Cash Incentive,SC/OBC,21-30,Online,55.9,14916,12659,11,No,Yes,No,NeSL,Scheme under review
S0079,PM Digital Literacy Urja Yojana,Ministry of Panchayati Raj,Employment,1956,Senior Citizens,57812,33932,All States,,Under Review,Grant,All,15-35,N/A,82.5,235998,216224,5,No,Yes,No,NSDC,Merged with another scheme
S0080,Dr. Ambedkar Metro Rail Vikas Yojana,Ministry of Food Processing,Skill Development,2014,Rural Poor,463574,,All States,9855.87,Closed,Pension Scheme,SC/ST,21-55,Offline,37.2,49073,39572,9,No,Yes,Yes,Gram Panchayats,Data partially available
S0081,Samagra River Cleaning Yojana,Ministry of Housing,Digital Infrastructure,1995,Pregnant Women,4009,3725,All States,7620.69,Completed,Insurance,Children,30+,Offline,95.8,301941,217650,2011,Yes,No,No,AAI,Merged with another scheme
S0082,Scheme for TB Eradication Sadak Yojana,Ministry of Science and Technology,Tourism,2013,Minorities,50240,,All States,3979.54,Active,Loan Guarantee,Children,21-35,Multiple,35.2,131720,83834,10,Yes,Yes,Yes,MNRE,Missing beneficiary data
S0083,PM Coastal Development Shiksha Yojana,Ministry of Sports,Urban Livelihood,1964,Women,232300,,All States,,Completed,In-Kind,All,30+,Offline,57.9,72738,53562,Ongoing,Yes,Yes,No,NHAI,New phase announced
S0084,Mission Tourism Development Bima Yojana,Ministry of Panchayati Raj,Education,1998,OBC,102429,64989,All States,11894.68,Active,Legal Framework,Women/Children,21-35,Online/Offline,91.6,323198,290806,2002,Yes,Yes,Yes,NSDC,
S0085,State Farmer Income Swasthya Yojana,Ministry of Mines,Pension,2000,SC/ST,248310,206423,All States,,Active,Training,SC/OBC,60+,Online/Offline,83.2,289123,179159,2002,No,Yes,No,CGTMSE,Loan guarantee scheme
S0086,Samagra Juvenile Justice Suraksha Yojana,Ministry of AYUSH,Urban Development,2015,Pregnant Women,95183,31603,All States,6924.61,Closed,Cash Incentive,Children,21-30,Offline,82.5,220089,208940,2029,Yes,No,No,NHM,New phase announced
S0087,Digital Fluorosis Control Swasthya Yojana,Ministry of Development of NE,Disaster Relief,2018,Artisans,57717,41290,All States,1588.36,Active,Loan Guarantee,All,16-59,Offline,38.1,153591,122919,7,No,Yes,Yes,QCI,Scheme under review
S0088,Scheme for Women Safety Suraksha Yojana,Ministry of Health,Water,2010,Pregnant Women,,,All States,,Active,Wage Employment,Children,15-35,N/A,32.5,352371,264298,13,No,No,No,AAI,Subsumed into larger mission
S0089,Scheme for Solar Energy Sinchai Yojana,Ministry of Tribal Affairs,Tribal Development,2009,Children,375054,180172,All States,,Closed,Digital Platform,Children,21-55,Offline,56.1,259317,165802,8,Yes,Yes,No,DAC,
S0090,Central Child Nutrition Shakti,Ministry of Fisheries,Urban Livelihood,1969,Students,102690,47790,All States,9372.6,Active,Free Service,SC/OBC,60+,Multiple,83.2,241743,171764,2018,Yes,Yes,Yes,DAC,
S0091,Rashtriya Fluorosis Control Mission,Ministry of Civil Aviation,Urban Livelihood,2018,Persons with Disability,239401,197392,All States,,Closed,Pension Scheme,Women,21-45,Multiple,42.1,266996,262878,2020,Yes,Yes,No,MeitY,
S0092,Dr. Ambedkar Cancer Care Kaushal,Ministry of Fisheries,Digital Infrastructure,1998,Pregnant Women,125342,122786,All States,12156.95,Active,Free Service,Women/Children,21-35,N/A,90.7,227628,218967,15,Yes,Yes,No,NDDB,Self-funded contributory
S0093,Digital Iodine Deficiency Sinchai Yojana,Ministry of Labour,Water,1980,BPL Families,50697,48651,All States,11785.92,Completed,Legal Framework,Women/Children,30+,Online/Offline,36.6,263942,224046,12,Yes,Yes,No,QCI,
S0094,Samagra Electric Vehicles Sadak Yojana,Ministry of Chemicals,Sports,1991,Unorganised Workers,148907,94944,All States,6296.85,Active,Digital Platform,Women/Children,18-70,Online,53.1,12186,9032,1994,No,Yes,No,CGTMSE,Missing beneficiary data
S0095,PM Dengue Prevention Initiative,Ministry of Petroleum,Financial Inclusion,1956,Students,109040,95436,All States,12973.1,Closed,Grant,SC/OBC,18-40,Offline,46,179165,113294,3,Yes,Yes,Yes,QCI,New phase announced
S0096,Swachh Nutrition Programme Swasthya Yojana,Ministry of MSME,Tourism,1987,Farmers,256868,218727,15,6333.73,Active,Policy,SC/OBC,14-18,Online,,182465,164072,2013,Yes,Yes,Yes,EPFO,
S0097,PM Agricultural Market Kalyan Yojana,Ministry of Education,Digital Infrastructure,2022,Pregnant Women,463314,185999,All States,,Active,Scholarship,Women/Children,21-35,Online/Offline,81.2,484832,392695,Ongoing,No,Yes,No,NITI Aayog,
S0098,Rajiv Gandhi Port Development Scheme,Ministry of Development of NE,Employment,1957,BPL Families,135187,70828,All States,13975.17,Active,Training,Women/Children,18-40,Online,96.2,437606,378191,Ongoing,Yes,No,No,CGTMSE,
S0099,Swachh Leprosy Elimination Urja Yojana,Ministry of Finance,Research,2000,Youth,476931,288921,All States,,Closed,Micro Credit,Children,0-6,Multiple,61,231157,179288,2021,Yes,No,No,India Post,Merged with another scheme
S0100,Digital Irrigation Shakti,Ministry of Rural Development,Skill Development,1993,Rural Poor,75594,66927,All States,4110.46,Under Review,Tax Benefits,SC/ST,18-70,N/A,,171717,137540,2014,No,Yes,Yes,MoRD,Missing beneficiary data
S0101,Gram Coastal Development Jan Vikas,Ministry of Steel,Sanitation,2013,Unorganised Workers,248793,163190,All States,11249.71,Under Review,Infrastructure,Women,18+,Offline,59.6,344260,314328,2025,Yes,No,No,PMO,
S0102,Gram SC/ST Welfare Mission,Ministry of Textiles,Entrepreneurship,1984,Rural Poor,43936,27393,All States,12981.88,Active,Subsidy,Women,18-40,Online,36.5,276756,270563,Ongoing,Yes,No,No,NPCI,
S0103,Indira Gandhi Gems and Jewellery Vikas Yojana,Ministry of Ports,Employment,1964,Persons with Disability,27953,9416,All States,4517,Active,Wage Employment,SC/ST,22-35,Online/Offline,50.5,197408,172330,14,No,No,No,SFAC,
S0104,Scheme for Aadhaar Integration Sinchai Yojana,Ministry of Electronics,Social Security,1972,All Citizens,490426,506134,All States,3880.3,Closed,Price Support,SC/ST,22-35,Online/Offline,91.7,257561,241555,1,No,Yes,No,NIC,State-level implementation
S0105,Rajiv Gandhi Fertilizer Suraksha Yojana,Ministry of Road Transport,Infrastructure,1967,BPL Families,135087,68443,All States,12526.01,Under Review,Micro Credit,Women,21-30,Offline,32.7,340509,269355,1987,Yes,No,No,PMO,Budget revised upward
S0106,Rajiv Gandhi Higher Education Kalyan Yojana,Ministry of Fisheries,Agriculture,2007,Persons with Disability,,,All States,2142.59,Active,Awareness,SC/OBC,18-70,N/A,86.3,496937,449348,2024,Yes,Yes,No,PFC,Pilot phase
S0107,National Pesticide Management Mission,Ministry of Petroleum,Urban Livelihood,1999,Rural Poor,250425,207807,6,2020.75,Active,Free Service,All,18-70,Multiple,61.2,415619,279914,Ongoing,No,Yes,No,NeSL,
S0108,Dr. Ambedkar Port Development Kalyan Yojana,Ministry of Skill Development,Innovation,2017,Fishers,124197,94610,4,13112.49,Completed,Pension Scheme,Women/Children,21-55,Online/Offline,81.6,242239,234683,2024,Yes,Yes,No,SFAC,Loan guarantee scheme
S0109,Indira Gandhi Leather Industry Vikas Yojana,Ministry of Fisheries,Disaster Relief,2018,Women,187417,159737,All States,11996.57,Active,Grant,Women,All Ages,Offline,88.5,124791,90974,2024,Yes,No,No,MoTA,COVID-19 relief component
S0110,Swachh LED Lighting Kalyan Yojana,Ministry of Law and Justice,Sports,1976,Youth,76960,70929,All States,,Under Review,Wage Employment,All,Jun-18,Online,65.4,158815,122976,9,No,No,No,CGTMSE,Pilot phase
S0111,Mahatma Gandhi Higher Education Jan Vikas,Ministry of Food,Sports,1973,Rural Poor,320751,110132,All States,9905.43,Active,Free Service,Children,21-55,Online/Offline,52,180537,,15,Yes,No,No,UIDAI,Scheme under review
S0112,PM Horticulture Karyakram,Ministry of Food,Tourism,1980,Youth,129714,47905,All States,11585.56,Under Review,Legal Framework,SC/OBC,14-18,Online,71,81733,55927,2024,Yes,Yes,No,NITI Aayog,Self-funded contributory
S0113,State River Cleaning Urja Yojana,Ministry of Culture,Social Security,1959,OBC,183166,74835,All States,1606.01,Active,Training,Children,18-45,Online/Offline,62.7,318016,204828,12,Yes,Yes,No,PFC,Self-funded contributory
S0114,Bharat Sports Infrastructure Vikas Yojana,Ministry of Home Affairs,Tourism,2009,Tribal Communities,69153,47208,All States,4194.21,Completed,Policy,SC/ST,18-70,Online/Offline,52.2,373747,267309,2029,Yes,Yes,No,PFRDA,
S0115,Indira Gandhi Tourism Development Urja Yojana,Ministry of Textiles,Child Protection,1992,SC/ST,53066,41294,All States,2103.15,Completed,Scholarship,Women/Children,30+,Offline,70.8,235011,193982,4,Yes,No,No,NHM,
S0116,Integrated Deafness Yojana,Ministry of Ports,Credit,2001,BPL Families,297487,256572,All States,13214.28,Active,Loan Guarantee,SC/ST,21-35,Multiple,74,202348,155787,2004,Yes,Yes,Yes,HUDCO,Missing beneficiary data
